section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Delhi Rulings,1,1,M/s,25.02.2026,11.06.2026,Classification of ‘B-TRAXIM 2C’,CAAR/Del/ADM/12/2026,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-12-16062026.pdf,YES
Delhi Rulings,1,2,M/s Servercom (India) Private Limited,16.01.2026,15.06.2026,,CAAR/Del/Servercom/24/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-24-16062026.pdf,YES
Delhi Rulings,1,3,M/s DH Lighting India Private Limited,17.03.2026,03.06.2026,,CAAR/Del/DH Lighting/23/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-23-16062026.pdf,YES
Delhi Rulings,1,4,M/s DH Lighting India Private Limited,17.03.2026,03.06.2026,,CAAR/Del/DH Lighting/22/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-22-16062026.pdf,YES
Delhi Rulings,1,5,M/s DENSO Haryana Pvt. Ltd,02.02.2026,12.06.2026,"Classification of ""Front Camera Module""","CAAR/Del/Denso/14/2026, and CAAR/Del/Denso/15/2026",https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-denso-14-15-del-17062026.pdf,YES
Delhi Rulings,1,6,M/s Solae Company India Pvt Ltd,05.02.2026,12.06.2026,,CAAR/Del/Solae/13/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-13-16062026.pdf,YES
Delhi Rulings,1,7,M/s. Samsung India Electronics Pvt Ltd,23.01.2026,08.06.2026,,CAAR/Del/Samsung/11/2026-27,,NO
Delhi Rulings,1,8,"M/s R.B.S. Traders, C/O-Lt.",30.01.2026,27.05.2026,,CAAR/Del/RBS Traders/21/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-21-02062026.pdf,YES
Delhi Rulings,1,9,M/s V.G. Enterprises,02.03.2026,12.05.2026,,CAAR/Del/V.G./17-20/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-17-20-13052026.pdf,YES
Delhi Rulings,1,10,M/s Think Smart Consultant Private Limited,30.03.2026,04.05.2025,Ruling is kept confidential,CAAR/Del/ThinkSmart/12-16/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-12-16-06052026.pdf,YES
Delhi Rulings,2,11,M/s Samsung India Electronics Private Limited,16.12.2025,04.05.2025,Ruling is kept confidential,CCAAR/Del/Samsung/10/2026,,NO
Delhi Rulings,2,12,M/s Toyota Tsusho India Pvt Ltd,03.02.2026,04.05.2026,Ruling is kept confidential,CAAR/Del/Toyota Tsusho/08/2026-27,,NO
Delhi Rulings,2,13,M/s. Samsung India Electronics Pvt Ltd,23.01.2026,24.04.2026,Ruling is kept confidential,CAAR/Del/Samsung/07/2026-27,,NO
