section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Mumbai Orders,1,1,M/s. Madvic Agro India Private Limited,25.02.2026,08.05.2026,Classification of the “Roasted Areca Nuts (Whole & Cut)”,CAAR/Mum/ARC/15/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-15-11052026.pdf,YES
Mumbai Orders,1,2,M/s Classic Enterprises,01.04.2026,08.05.2026,Classification of the “Roasted Areca Nuts/Roasted Betel Nuts”,CAAR/Mum/ARC/14/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-14-11052026.pdf,YES
Mumbai Orders,1,3,M/s Sha Kantilal Jayantilal,07.04.2026,08.05.2026,Classification of the “Roasted Betel/Areca Nuts and Roasted Betel/Areca Nuts Cut”.,CAAR/Mum/ARC/13/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-13-11052026.pdf,YES
Mumbai Orders,1,4,M/s Sidra Spices,05.03.2026,08.05.2026,Classification of the “Roasted Areca Nuts (Whole & Cut)”,CAAR/Mum/ARC/12/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-12-11052026.pdf,YES
Mumbai Orders,1,5,M/s Regal General Trading CO,25.02.2026,08.05.2026,Classification of the “Roasted Areca Nuts (Whole & Cut)”.,CAAR/Mum/ARC/11/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-11-11052026.pdf,YES
Mumbai Orders,1,6,M/s Shivshakti Enterprises,26.02.2026,08.05.2026,Classification of the “Roasted Areca Nuts (Whole & Cut)”,CAAR/Mum/ARC/10/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-10-11052026.pdf,YES
Mumbai Orders,1,7,M/s Lucky Trading,26.02.2026,08.05.2026,Classification of the “Roasted Areca Nuts (Whole & Cut)”,CAAR/Mum/ARC/09/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-09-11052026.pdf,YES
Mumbai Orders,1,8,M/s Kepal Enterprises,26.02.2026,08.05.2026,Classification of the “Roasted Areca Nuts (Whole & Cut)”,CAAR/Mum/ARC/08/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-08-11052026.pdf,YES
Mumbai Orders,1,9,"M/s R R Exports, 4/28 F-1, Harbour Bye Pass Road, Tuticorin-628006, Tamilnadu , India",07.04.2026,29.04.2026,Classification of the Flavoured Supari,CAAR/Mum/ARC/03/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-3-30042026.pdf,YES
Mumbai Orders,1,10,"M/s Konet Technology having address at Old No. 17, New No. 20, Shop No. 10, Nakoda Plaza, Narasingap
Read More..",07.04.2026,29.04.2026,Classification of the Roasted Areca Nuts (Whole & Cut),"CAAR/Mum/ARC/04,05,06,07/2026-27",https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-4567-30042026.pdf,YES
